v1,v2
ham,zyada itrao mat . english meko bi aati hai :-P 
ham,is ajnbi dunia me akle 1 khwab hu  swalon se khafa chota sa jawab hu me jo na smajh sake unk lie ajnbi or jo samajh sake unk lie khuli kitab hu me...!!!Gudnyt 
ham,Husband n wife were opening joint bank ac Husband put d passwrd as 'penis'wife fell off her chair laughing when computer screen said-password not long enough  
ham,Husband Suhag raat pe- Tum ne kabhi Blue Film Dekhi Hai? Wife- Haa 1 Bar. Husbnd-Hum wahi Karenge. Wife- Wo Thik Hai Par Baaki 2 Ladke Tum Laoge Ya Main bulalu  
ham,indagi me 5 cheez kabhi bhi aa sakti h 'Hum' 'Hamari call' 'Humara msg' 'Humari misS call' OR...OR..OR... 'HAMARI YAAD' kyun...aayi Na.. 
ham,Why do Muslims hate Pigs !!? becz- Pigs produce more babies than muslims.. EGO PROBLEM.! 
ham,Incase Notice koi na dekha ho aj evry clas md jake ekbar announc kar dena. 
ham,In your life  when you wake up; dont see any one  then come to me  i ll be there to hold ur hand take you to the EYE SPECIALIST 
ham,In world 6 things r GOD's gifts 1 mother's love 2 father's advice 3 brother's care 4 sis's fight 5 Kisi ka pyar & 6.Oye apni DOSTI gdmrng 
ham,in workshop. 
ham,In which condition  men start sweating in 10 mins & women want to go ON & ON & ON? Think.. Think..  SHOPPING :-D God bless ur naughty mind..!  
ham,In way 
ham,IN UR FRND CRCLEsbse sweet-sbse sidha-sbse feku-sbse cute-sbse frank-sbse selfish-sbse kamina-sbse special-sbse hot-ur fav-rply must fastjarur krna 
ham,Is  Fuel  Really Costly?GO AHEAD  READ ON..I filled up my vehicles fuel tank  and I thought fuel has become really expensive ..HahahaBut when I compared it with other  liquids and with some calculations  I felt a little better...Here are the results below..Petrol : Rs.50  per litre..Coca Cola 330ml CAN : Rs.25i.e. Rs.76 per litre..Nariyal paani 200ml Rs.25i.e. Rs. 125 per litre..Pantene conditioner 400ml Rs.165i.e. Rs.413 per litre..Parachute oil100ml Rs21i.e. Rs210.00 per litre..n dis is d REAL KICKERLexmark inkjet color ink cartridge 21ml Rs.950i.e. Rs.45238 per litre..!!So dont curse  Petrol  rates ? be glad your byk/car doesnt run on ink cartridge  coke  hair oil etc.. :-):-D;-)JAO AUR PETROL PHUKOO..!!: :-P 
ham,In the lift 
ham,In the hand of life its not important to hold all the good relation...But its more important how good u behave with the relation which u hold.: 
ham,In The End We Only Regret The Chances We Didnt Take. The Relationships We Were Scared To Have And The Decisions We Waited Too Long To Make. There Comes A Time In Your Life When You Realise Who Matters  Who Doesnt   Who Never Did  And  Who Always Will   So Dont Worry About The People From Your Past Theres A Reason They Didnt Make It To Your Future. So Only Send This To The People In Your Life Who Matter...  I Just Did..!!  
ham,Why do girls rub their eyes when they get up in the morning?...'coz they don't have balls to scratch! 
ham,In the corridor of a government office there was a signboard reading  Do not make noise.  someone added: Otherwise we may wake up.  
ham,In ThE c0oKiE oF LiFe  FriEnDs ArE tHe ChOcOLaTe ChiPs ThAt MaKe LiFe SwEeT  sUrPriSiNg & YuMmY..tHaNk u fOr BeiNg ThE YuMmY cHoCO cHiP oF mY LIFE.Good night:-) 
ham,In ten minutes. 
ham,In se baat kr le  wo bta denge  
ham,In rum. 
ham,In room...nt coming... 
